path,level,prefLabel,synonym,definition
symptom/urinary system symptom/urinary incontinence/stress incontinence/male stress incontinence,4,male stress incontinence,,A stress incontinence that is characterized by a compromised external urinary sphincter muscle resulting from surgical or radiotherapeutic manipulation.
symptom/urinary system symptom/urinary incontinence/nocturnal enuresis,3,nocturnal enuresis,bed wetting|nighttime incontinence,A urinary incontinence that is characterized by involuntary urination at night in children five years of age or older.
symptom/urinary system symptom/nephritis,2,nephritis,,"A urinary system symptom that is characterized by the acute or chronic inflammation of the kidney affecting the structure (as of the glomerulus or parenchyma) and caused by infection, a degenerative process, or vascular disease.|doid/symp duplicate"
symptom/urinary system symptom/genitourinary hemorrhage,2,genitourinary hemorrhage,,
symptom/urinary system symptom/proteinuria,2,proteinuria,,A urinary system symptom characterized by the presence of excess protein in the urine.|doid/symp duplicate
symptom/urinary system symptom/incomplete bladder emptying,2,incomplete bladder emptying,,A urinary system symptom that is characterized by a bladder that is not empty.
symptom/urinary system symptom/urinary retention,2,urinary retention,inability to urinate|retention of urine|ischuria,A urinary system symptom that is characterized by an inability to empty the bladder completely during the process of voiding (urination).
symptom/urinary system symptom/renal alteration,2,renal alteration,,
symptom/urinary system symptom/urinary urgency,2,urinary urgency,urgency of urination,"A urinary system symptom that is characterized by a strong and immediate need to urinate due to an increase in pressure in the bladder, resulting in difficulty to hold in the urine. This can occur regardless of whether the bladder is full."
symptom/urinary system symptom/urinary frequency,2,urinary frequency,nocturia|frequent urination,"A urinary system symptom that is characterized by the need to urinate many times during the day, at night, or both but in normal or less-than-normal volumes.  Frequency may be accompanied by a sensation of an urgent need to void (urgency of urination)."
symptom/urinary system symptom/polyuria,2,polyuria,excessive secretion of urine,A urinary system symptom that is characterized by the excessive secretion of urine.
symptom/urinary system symptom/nocturia,2,nocturia,nycturia,A urinary system symptom that is characterized by urination at night especially when excessive.
symptom/urinary system symptom/oliguria,2,oliguria,,A urinary system symptom that is characterized by the reduced excretion of urine.
symptom/urinary system symptom/dark urine,2,dark urine,,"A urinary system symptom that is characterized by an elevation in the concentration of the the pigments from foods, dyes, and medications in urine. The dilution of these pigment is dependent on the amount of water intake and severe dehydration can lead to a dark color."
symptom/urinary system symptom/anuria,2,anuria,,"A urinary system symptom that is characterized by the absence of, or by defective, urine excretion.|doid/symp duplicate"
symptom/urinary system symptom/renal failure,2,renal failure,,"A urinary system symptom that is characterized by a loss of excretory function in one or both kidneys, leading to retention of nitrogenous waste products from the blood."
symptom/urinary system symptom/renal failure/acute renal failure,3,acute renal failure,,A renal failure that is characterized by a severe and sudden onset of renal failure.
symptom/skin and integumentary tissue symptom,1,skin and integumentary tissue symptom,,"A skin and integumentary tissue symptom that is characterized by the outer layer of the skin starting to replace itself. Often, this happens when skin is damaged, either by disease or injury."
symptom/skin and integumentary tissue symptom/cold clammy skin,2,cold clammy skin,,"A skin and integumentary tissue symptom that is characterized by cold, moist and sticky skin."
symptom/skin and integumentary tissue symptom/abnormal scar formation,2,abnormal scar formation,,
symptom/skin and integumentary tissue symptom/nail discoloration,2,nail discoloration,,
symptom/skin and integumentary tissue symptom/ruffled feather,2,ruffled feather,,
symptom/skin and integumentary tissue symptom/dry mucous membrane,2,dry mucous membrane,dry mucous membranes,
symptom/skin and integumentary tissue symptom/change in skin color,2,change in skin color,,
symptom/skin and integumentary tissue symptom/urticaria,2,urticaria,nettle rash|hives|uredo,"A skin and integumentary tissue symptom that is characterized by raised red skin wheals (welts) commonly caused by an allergic reaction with wheals that may vary in size from about 5 mm (0.2 inches) in diameter to the size of a dinner plate that are described as severely itchy a stingnig or burning sensation, and having a pale border.|doid/symp duplicate"
symptom/skin and integumentary tissue symptom/paresthesia,2,paresthesia,,"A skin and integumentary tissue symptom that is characterized by a sensation of pricking, tingling, or creeping on the skin having no objective cause and usually associated with injury or irritation of a sensory nerve or nerve root."
symptom/skin and integumentary tissue symptom/itching,2,itching,pruritus,A skin and integumentary tissue symptom that is characterized by an uneasy irritating sensation in the upper surface of the skin usually held to result from mild stimulation of pain receptors.
symptom/skin and integumentary tissue symptom/localized superficial swelling,2,localized superficial swelling,,
symptom/skin and integumentary tissue symptom/localized superficial mass,2,localized superficial mass,,
symptom/skin and integumentary tissue symptom/pustule,2,pustule,,A skin and integumentary tissue symptom that is characterized by a small circumscribed elevation of the skin containing pus and having an inflamed base.
symptom/skin and integumentary tissue symptom/boil,2,boil,furuncle,"A skin and integumentary tissue symptom that is characterized by a localized swelling and inflammation of the skin resulting from usually bacterial infection of a hair follicle and adjacent tissue, having a hard central core, and forming pus."
symptom/skin and integumentary tissue symptom/flat keratotic capsule,2,flat keratotic capsule,,
symptom/skin and integumentary tissue symptom/keratotic nodules of the skin,2,keratotic nodules of the skin,,
symptom/skin and integumentary tissue symptom/disturbance of skin sensation,2,disturbance of skin sensation,,
symptom/skin and integumentary tissue symptom/jaundice,2,jaundice,icteric|icterus,"A skin and integumentary tissue symptom that is characterized by a yellowish pigmentation of the skin, tissues, and certain body fluids is caused by the deposition of bile pigments that follows interference with normal production and discharge of bile (as in certain liver diseases) or excessive breakdown of red blood cells (as after internal hemorrhage or in various hemolytic states)."
symptom/skin and integumentary tissue symptom/cyanosis,2,cyanosis,,A skin and integumentary tissue symptom that is characterized by a bluish or purplish discoloration (as of skin) due to deficient oxygenation of the blood.
symptom/skin and integumentary tissue symptom/edema,2,edema,dropsy,A skin and integumentary tissue symptom that is characterized by an abnormal excess accumulation of serous fluid in connective tissue or in a serous cavity.
symptom/skin and integumentary tissue symptom/edema/anasarca,3,anasarca,generalized edema,Anasarca is a edema characterized as generalized edema with accumulation of serum in the connective tissue.
symptom/skin and integumentary tissue symptom/edema/limb edema,3,limb edema,limb oedema|oedema of the limbs,An adema that is characterized by an abnormal excess accumulation of serous fluid in connective tissue of the limbs.
symptom/skin and integumentary tissue symptom/edema/palpebral edema,3,palpebral edema,edema of the eyelid,An adema that is characterized by an abnormal excess accumulation of serous fluid in connective tissue of the eyelids.
symptom/skin and integumentary tissue symptom/edema/facial edema,3,facial edema,facial swelling,An adema that is characterized by an abnormal excess accumulation of serous fluid in connective tissue of the face.
symptom/skin and integumentary tissue symptom/change in skin texture,2,change in skin texture,,
symptom/skin and integumentary tissue symptom/spontaneous ecchymoses,2,spontaneous ecchymoses,,A skin and integumentary tissue symptom that is characterized by the spontaneous escape of blood into the tissues from ruptured blood vessels marked by a livid black-and-blue or purple spot or area.
symptom/skin and integumentary tissue symptom/sweaty,2,sweaty,perspire,A skin and integumentary tissue symptom that is characterized by the excretion of moisture in visible quantities through the opening of the sweat glands.
symptom/skin and integumentary tissue symptom/sweaty/diaphoresis,3,diaphoresis,profuse perspiration,A sweat that is characterized by excessive sweating commonly associated with shock and other medical emergency conditions.
symptom/skin and integumentary tissue symptom/necrotic lesion,2,necrotic lesion,,"A skin and integumentary tissue symptom that is characterized by regions of cell death to living tissue in an organ, which has suffered damage through injury or disease, such as a wound, ulcer, abscess, or tumor."
symptom/skin and integumentary tissue symptom/rash,2,rash,skin redness|skin eruption|erythema|rubor|skin rash,A skin and integumentary tissue symptom that is characterized by an eruption on the body typically with little or no elevation above the surface.
symptom/skin and integumentary tissue symptom/rash/ankle rash,3,ankle rash,redness of ankle,A rash characterized by an inflammatory reaction of the skin on the ankles.
symptom/skin and integumentary tissue symptom/rash/papular rash,3,papular rash,,"A rash characterized by papule(s), which are a raised area of the skin."
symptom/skin and integumentary tissue symptom/rash/maculopapular rash,3,maculopapular rash,,"A rash characterized by papule(s), which are a raised area of the skin and macule(s), which are a flat red area of the skin."
symptom/skin and integumentary tissue symptom/rash/blotchy red rash,3,blotchy red rash,,
symptom/skin and integumentary tissue symptom/rash/purpuric rash,3,purpuric rash,,A rash characterized by a red or purple hued small spots of blood appear on the skin caused by conditions that result in blood leaking into the skin and other body surfaces that does not fade when pressed upon.
symptom/skin and integumentary tissue symptom/rash/diffuse rash,3,diffuse rash,diffuse erythema,"A rash characterized by large patches of red skin, without overlying changes in the epidermis."
symptom/skin and integumentary tissue symptom/rash/exanthema,3,exanthema,,A rash characterized by a widespread skin eruption usually occurring in children that is a symptom of a more general disease.
symptom/skin and integumentary tissue symptom/skin lesion,2,skin lesion,,A skin and integumentary tissue symptom that is characterized by an abnormal change in structure of the skin that is especially circumscribed and well defined due to injury or disease.
symptom/skin and integumentary tissue symptom/skin lesion/abnormal wound healing,3,abnormal wound healing,,
symptom/skin and integumentary tissue symptom/skin lesion/poor wound healing,3,poor wound healing,,
symptom/skin and integumentary tissue symptom/skin lesion/skin ulcer,3,skin ulcer,,"A skin lesion that is characterized by a break in skin with loss of surface tissue, disintegration and necrosis of epithelial tissue, and often pus."
symptom/skin and integumentary tissue symptom/skin lesion/skin ulcer/tache noire,4,tache noire,,A skin ulcer that is characterized by a a small dark-centered ulcer that appears at the site of a tick bite and is the primary lesion of boutonneuse fever.
symptom/skin and integumentary tissue symptom/skin lesion/skin ulcer/extensive ulcer,4,extensive ulcer,,
symptom/skin and integumentary tissue symptom/skin lesion/skin ulcer/apthous ulcer,4,apthous ulcer,aphthous stomatitis|canker sore,"A skin ulcer that is characterized by a small recurrent, painful, round or ovoid ulcers with well-defined erythematous margins, like a halo, and a central yellow or gray floor found in the soft tissue of the oral cavity."
symptom/skin and integumentary tissue symptom/papule,2,papule,,"A skin and integumentary tissue symptom that is characterized by a small solid usually conical elevation of the skin caused by inflammation, accumulated secretion, or hypertrophy of tissue elements."
symptom/skin and integumentary tissue symptom/hyperpigmentation,2,hyperpigmentation,,"A skin and integumentary tissue symptom that is characterized by an excess pigmentation in a bodily part or tissue, as the skin."
symptom/skin and integumentary tissue symptom/pale mucous membrane,2,pale mucous membrane,,
symptom/skin and integumentary tissue symptom/mammary gland inflammation,2,mammary gland inflammation,inflammation of mammary breast|mammitis,A skin and integumentary tissue symptom that is characterized by an inflammation of the mammary gland or udder and usually caused by infection.
symptom/skin and integumentary tissue symptom/mammary gland inflammation/severe mammary gland inflammation,3,severe mammary gland inflammation,,A mammary gland inflammation that is characterized by an increased intensity or severity of the condition.
symptom/skin and integumentary tissue symptom/enanthem,2,enanthem,,A skin and integumentary tissue symptom that is characterized by an eruption on a mucous surface.
symptom/skin and integumentary tissue symptom/flushing,2,flushing,,"A skin and integumentary tissue symptom that is characterized by a markedly red flush in a persons face and often other areas of the skin, from various physiological conditions. Flushing is generally distinguished, despite a close physiological relation between them, from blushing, which is milder, generally restricted to the face or cheeks, and generally assumed to reflect embarrassment. Flushing is also a cardinal symptom of carcinoid syndrome the syndrome that results from hormones (often serotonin or histamine) being secreted into systemic circulation."
symptom/skin and integumentary tissue symptom/pallor,2,pallor,paleness,A skin and integumentary tissue symptom that is characterized by a deficiency of color especially of the face.
symptom/skin and integumentary tissue symptom/localized superficial lump,2,localized superficial lump,,
symptom/skin and integumentary tissue symptom/petechiae,2,petechiae,petechial rash,A skin and integumentary tissue symptom that is characterized by a minute reddish or purplish spot containing blood that appears in skin or mucous membrane as a result of localized hemorrhage.
symptom/skin and integumentary tissue symptom/blister,2,blister,,A skin and integumentary tissue symptom that is characterized by a fluid-filled elevation of the epidermis.
symptom/skin and integumentary tissue symptom/dermal abscess,2,dermal abscess,cutaneous abscess|skin abscess|subcutaneous abscess|dermal abscesses,"A skin and integumentary tissue symptom that is characterized by a pus-filled pocket in the skin, similar to a pimple, but larger and deeper.  The pocket is filled with bacteria, white blood cells, and dead skin and typcally result from the bacteria Staphylococcus aureus prentrating the skin through a cut or hair follicle."
symptom/skin and integumentary tissue symptom/eschar,2,eschar,,A skin and integumentary tissue symptom that is characterized by a scab formed especially after a burn.
symptom/skin and integumentary tissue symptom/skin peeling,2,skin peeling,,
symptom/skin and integumentary tissue symptom/skin peeling/skin desquamation,3,skin desquamation,,A skin and integumentary tissue symptom that is characterized by the peeling off of skin in the form of scales.
symptom/skin and integumentary tissue symptom/hair symptom,2,hair symptom,,
symptom/skin and integumentary tissue symptom/hair symptom/hair loss,3,hair loss,,"A hair symptom that is characterized by the stopping of hair growth (regeneration), which may be a result of hereditary hair loss, immune system overreacts, drugs and treatments, harsh hair-care products, and other factors."
symptom/skin and integumentary tissue symptom/hair symptom/hair loss/patches of hair loss with a black dot pattern,4,patches of hair loss with a black dot pattern,,"A hair symptom that is characterized by patchy hair loss and the presence of comedo-like cadaver hairs, which appear as black dots."
symptom/skin and integumentary tissue symptom/hair symptom/corkscrew hair,3,corkscrew hair,,"A hair symptom that is characterized by coiled “corkscrew” hairs on the surface of the arms, legs and chest, which can occur as a result low level of ascorbic acid (vitamin C)."
symptom/skin and integumentary tissue symptom/hair symptom/hair shedding,3,hair shedding,,"A hair symptom that is characterized by significant falling out of hair, which may be a result of stress, high fever, and other factors."
symptom/skin and integumentary tissue symptom/peritonitis,2,peritonitis,,A skin and integumentary tissue symptom that is characterized by an inflammation of the peritoneum.|doid/symp duplicate
symptom/skin and integumentary tissue symptom/pleural effusion,2,pleural effusion,,A skin and integumentary tissue symptom that is characterized by an exudation of fluid from the blood or lymph into a pleural cavity.
symptom/skin and integumentary tissue symptom/decreased facial sensation,2,decreased facial sensation,,
symptom/skin and integumentary tissue symptom/hemorrhage into skin,2,hemorrhage into skin,,
symptom/skin and integumentary tissue symptom/hemorrhage into mucous membrane,2,hemorrhage into mucous membrane,,
symptom/skin and integumentary tissue symptom/hematoma,2,hematoma,,"A skin and integumentary tissue symptom that is characterized by a mass of usually clotted blood that forms in a tissue, organ, or body space as a result of a broken blood vessel generally the result of hemorrhage, or more specifically, internal bleeding."
symptom/skin and integumentary tissue symptom/icteric skin,2,icteric skin,,A skin and integumentary tissue symptom that is characterized by yellowed skin due to bile or bilirubin accumulation.
symptom/skin and integumentary tissue symptom/icteric mucous membrane,2,icteric mucous membrane,,A skin and integumentary tissue symptom that is characterized by yellowed mucous membranes due to bile or bilirubin accumulation.
symptom/skin and integumentary tissue symptom/bruise,2,bruise,bruises|bruising|contusion|ecchymosis,A skin and integumentary tissue symptom that is characterized by an injury transmitted through unbroken skin to underlying tissue causing rupture of small blood vessels and escape of blood into the tissue with resulting discoloration.
symptom/skin and integumentary tissue symptom/eczema,2,eczema,,"A skin and integumentary tissue symptom that is characterized by an inflammatory condition of the skin with redness, itching, and oozing vesicular lesions, which become scaly, crusted, or hardened."
symptom/skin and integumentary tissue symptom/darkening of skin,2,darkening of skin,,
symptom/nervous system symptom,1,nervous system symptom,,
symptom/nervous system symptom/sensation perception,2,sensation perception,,A nervous system symptom that is characterized by interpretation of the information perceived by sensory receptors.
symptom/nervous system symptom/sensation perception/pain,3,pain,,"A sensation perception that is characterized by an unpleasant sensation that usually indicates the body is threatened or damaged. The sensation may be sharp or dull, short-lived or chronic, intermittent or continual, confined to one area or spread over the entire body."
symptom/nervous system symptom/sensation perception/pain/neck pain,4,neck pain,,"A pain that is characterized by an unpleasant sensation localized in the neck that usually indicates the body is threatened or damaged. The sensation may be sharp or dull, short-lived or chronic, intermittent or continual."
symptom/nervous system symptom/sensation perception/pain/throat pain,4,throat pain,sore throat,A pain that is characterized by a painful throat due to inflammation of the fauces and pharynx.
symptom/nervous system symptom/sensation perception/pain/headache,4,headache,cephalalgia,A pain that is characterized by a pain in the head.
symptom/nervous system symptom/sensation perception/pain/headache/frontal headache,5,frontal headache,,
symptom/nervous system symptom/sensation perception/pain/headache/severe headache,5,severe headache,,
symptom/nervous system symptom/sensation perception/pain/headache/bifrontal headache,5,bifrontal headache,,
symptom/nervous system symptom/sensation perception/pain/bone pain,4,bone pain,,
symptom/nervous system symptom/sensation perception/pain/colicky pain,4,colicky pain,,"A pain that is characterized by an attack of acute abdominal pain localized in a hollow organ or part (as the small intestine, ureter, or bile duct) and often caused by spasm, obstruction, or twisting."
symptom/nervous system symptom/sensation perception/pain/colic,4,colic,,A pain that is characterized by the condition marked by recurrent episodes of prolonged and uncontrollable crying and irritability in an otherwise healthy infant that is of unknown cause and usually subsides after three to four months of age.
symptom/nervous system symptom/sensation perception/pain/colic/renal colic,5,renal colic,,A colic that is characterized by a severe pain produced by the passage of a calculus from the kidney through the ureter.
symptom/nervous system symptom/sensation perception/pain/body ache,4,body ache,,
symptom/nervous system symptom/sensation perception/pain/earache,4,earache,,
symptom/nervous system symptom/sensation perception/pain/toothache,4,toothache,,"A pain that is characterized by a pain in, or about, a tooth or teeth."
symptom/nervous system symptom/sensation perception/pain/abdominal pain,4,abdominal pain,,"A pain that is characterized by occurring in the abdomen, i.e. between the chest and groin."
symptom/nervous system symptom/sensation perception/pain/abdominal pain/periumbilic abdominal pain,5,periumbilic abdominal pain,,
symptom/nervous system symptom/sensation perception/pain/abdominal pain/left upper quadrant abdominal pain,5,left upper quadrant abdominal pain,,"An abdominal pain that is characterized by occurring in the left upper quadrant abdominal pain of the abdomen that can be caused by a stomach ulcer, acute gastritis, a viral infection, or indigestion, or may be an issue with one's lungs."
symptom/nervous system symptom/sensation perception/pain/abdominal pain/right upper quadrant abdominal pain,5,right upper quadrant abdominal pain,,
symptom/nervous system symptom/sensation perception/pain/abdominal pain/right lower quadrant abdominal pain,5,right lower quadrant abdominal pain,,
symptom/nervous system symptom/sensation perception/pain/abdominal pain/epigastric abdominal pain,5,epigastric abdominal pain,,"An abdominal pain that is characterized by occurring in the epigastrium, i.e. the upper part of the abdomen below the rib cage."
symptom/nervous system symptom/sensation perception/pain/abdominal pain/generalized abdominal pain,5,generalized abdominal pain,,An abdominal pain that is characterized by being diffuse or widespread and affecting or involving all of the abdomen.
symptom/nervous system symptom/sensation perception/pain/abdominal pain/multiple sites abdominal pain,5,multiple sites abdominal pain,,
symptom/nervous system symptom/sensation perception/pain/abdominal pain/left lower quadrant abdominal pain,5,left lower quadrant abdominal pain,,"An abdominal pain that is characterized by occurring in the left lower quadrant of the abdomen that is often related to the digestive tract, but can also be related to conditions of the body wall, skin, blood vessels, urinary tract, or reproductive organs."
symptom/nervous system symptom/sensation perception/pain/muscle pain,4,muscle pain,myalgia,A pain that is characterized by a pain in one or more muscles.
symptom/nervous system symptom/sensation perception/pain/muscle pain/severe myalgia,5,severe myalgia,,"A muscle pain that is characterized by being severe in nature.  Myalgia may be acute in nature, stemming from overuse of a muscle group or viral infection.  It may also be chronic and caused by  metabolic myopathy, some nutritional deficiencies, and chronic fatigue syndrome."
symptom/nervous system symptom/sensation perception/pain/muscle pain/muscle ache,5,muscle ache,,A pain that is characterized by a continuous or prolonged dull pain.
symptom/nervous system symptom/sensation perception/pain/referred pain,4,referred pain,,A pain that is characterized by pain which is subjectively localized in one region although it is due to irritation in another region.
symptom/nervous system symptom/sensation perception/pain/chest pain,4,chest pain,,
symptom/nervous system symptom/sensation perception/pain/chest pain/pleuritic chest pain,5,pleuritic chest pain,,A chest pain that is characterized by an inflammation of the pleural cavity with a sharp pain resulting from the exansion of the lungs as the inflammed pleural layers rub against each other.
symptom/nervous system symptom/sensation perception/pain/chest pain/precordial pain,5,precordial pain,,
symptom/nervous system symptom/sensation perception/pain/chest pain/severe chest pain,5,severe chest pain,intense chest pain,
symptom/nervous system symptom/sensation perception/pain/joint pain,4,joint pain,arthromyalgia|arthralgia,"A pain that is characterized by a pain situated, or occurring, in or around a joint."
symptom/nervous system symptom/sensation perception/pain/joint pain/shoulder pain,5,shoulder pain,,"A joint pain that is characterized by a pain situated, or occurring, in or around the shoulder."
symptom/nervous system symptom/sensation perception/pain/joint pain/elbow pain,5,elbow pain,,"A joint pain that is characterized by a pain situated, or occurring, in or around the elbow."
symptom/nervous system symptom/sensation perception/pain/joint pain/knee pain,5,knee pain,,"A joint pain that is characterized by a pain situated, or occurring, in or around the knee."
symptom/nervous system symptom/sensation perception/pain/joint pain/hip pain,5,hip pain,,"A joint pain that is characterized by a pain situated, or occurring, in or around the hip."
symptom/nervous system symptom/sensation perception/pain/joint pain/severe joint pain,5,severe joint pain,intense join pain,"A joint pain that is characterized by a pain situated, or occurring, in or around a joint that is intense (severe)."
symptom/nervous system symptom/sensation perception/pain/acute painful vision loss,4,acute painful vision loss,,
symptom/nervous system symptom/sensation perception/pain/painful lymph glands,4,painful lymph glands,painful lymph nodes,"A pain that is characterized by a pain situated, or occurring, in the lymph gland (lymph node). Pain is often associated with swelling of the gland, which is a sign that one's body is fighting an infection."
symptom/nervous system symptom/sensation perception/pain/gas pain,4,gas pain,,
symptom/nervous system symptom/sensation perception/pain/neuropathic pain,4,neuropathic pain,,"A pain that is characterized by being experienced by cancer patients and which is caused by radiotherapy or chemotherapy damage to nerves, when cancer invades or compresses nerves, or when, during cancer treatment. This type of pain is typically described as burning, electrical, or strange feeling."
symptom/nervous system symptom/sensation perception/pain/visceral pain,4,visceral pain,,"A pain that is characterized by originating from organ tissues of the thorax, abdomen, or pelvis.  It characterizes as deep, vague, and difficult to locate pain, that radiates away from the affected organ."
symptom/nervous system symptom/sensation perception/pain/acute pain,4,acute pain,sudden pain,A pain that is characterized by being severe but lasting a relatively short time.
symptom/nervous system symptom/sensation perception/pain/nociceptive pain,4,nociceptive pain,,"A pain that is characterized by originating from other than the peripheral and central nervous systems, and which is caused by activation of nociceptive fibers."
symptom/nervous system symptom/sensation perception/pain/chronic pain,4,chronic pain,,A pain that is characterized by ranging from mild to severe and which continues beyond the expected healing phase.
symptom/nervous system symptom/sensation perception/pain/phantom pain,4,phantom pain,,A pain that is characterized by a painful sensation that is perceived to originate in the amputated portion of the extremety. Patients may have localized pain that originates in the stump.
symptom/nervous system symptom/sensation perception/pain/breakthrough pain,4,breakthrough pain,,"A pain that is characterized by occurring with movement and is not controlled by a scheduled pain medication regimen, such that the pain breaks through the current regimen. This is usually referred to in the context of a short and long acting opioid, the short acting opioid being used to treat the breakthrough pain."
symptom/nervous system symptom/sensation perception/pain/retrobulbar pain,4,retrobulbar pain,,"A pain that is characterized by a pain situated, or occurring, behind the eyeball."
symptom/nervous system symptom/sensation perception/pain/testicular pain,4,testicular pain,,"A pain that is characterized by a pain in, or about, a testis (testicle) or testes. Testicular pain can be caused by nerve damage, sexually transmitted infections, gangrene, swelling, hernia, kidney stones, inflammation, enlarged veins, fluid in the testicle, or a severe condition known as testicular torsion."
symptom/nervous system symptom/sensation perception/pain/backache,4,backache,back pain,A pain that is characterized by occurring in the lower back.
symptom/nervous system symptom/sensation perception/pain/backache/inflammatory low back pain,5,inflammatory low back pain,,
symptom/nervous system symptom/sensation perception/pain/backache/low backache,5,low backache,low back pain,
symptom/nervous system symptom/sensation perception/pain/backache/severe backache,5,severe backache,intense back pain,
symptom/nervous system symptom/sensation perception/pain/allodynia,4,allodynia,,"A pain that is characterized by a painful sensation with a normal, non-painful stimulation."
symptom/nervous system symptom/sensation perception/pain/parotid pain,4,parotid pain,salivary gland pain,"A pain that is characterized by a pain situated, or occurring, in the parotid gland, which is a salivary gland located in front of the ears. (Additional salivary glands include the submandibular and sublingual glands.) Pain is attributed to swelling of the gland."
symptom/nervous system symptom/sensation perception/pain/dyspareunia,4,dyspareunia,painful sexual intercourse|difficult sexual intercourse,
symptom/nervous system symptom/sensation perception/pain/claudication,4,claudication,blockage of leg arteries,"A pain that is characterized by a leg pain in the calf, or thigh, which is caused by inadequate blood flow to the leg muscles and is brought on by leg exercise such as walking."
symptom/nervous system symptom/sensation perception/hypoalgesia,3,hypoalgesia,,A sensation perception that is characterized by a diminished sensitivity to painful stimulation.
symptom/nervous system symptom/sensation perception/hyperalgesia,3,hyperalgesia,,A sensation perception that is characterized by an increased response to a painful stimulus.
symptom/nervous system symptom/sensation perception/hypoesthesia,3,hypoesthesia,numbness,"A sensation perception that is characterized by a reduced sense of touch or sensation, or a partial loss of sensitivity to sensory stimuli."
symptom/nervous system symptom/sensation perception/hyperesthesia,3,hyperesthesia,hyperaesthesia,A sensation perception that is characterized by an increased sensitivity to stimulation.
symptom/nervous system symptom/aphasia,2,aphasia,inability to comprehend language,A nervous system symptom that is characterized by a loss or impairment of the power to use or comprehend words usually resulting from brain damage.|doid/symp duplicate
symptom/nervous system symptom/aphasia/poor enunciation,3,poor enunciation,,An aphasia that is characterized by a loss of ability to properly enunciate words.
symptom/nervous system symptom/aphasia/inability to comprehend speech,3,inability to comprehend speech,,An aphasia that is characterized by a loss of ability to comprehend speech.
symptom/nervous system symptom/aphasia/inability to comprehend speech/receptive aphasia,4,receptive aphasia,"sensory aphasia|fluent aphasia|Wernicke's aphasia|inability to perceive pitch, rhythm, and emotional tone of speech","An inability to comprehend speech that is characterized by an inability to understand spoken, written, or tactile speech symbols that results from damage (as by a brain lesion) to an area of the brain (as Wernicke's area) concerned with language."
symptom/nervous system symptom/aphasia/inability to speak,3,inability to speak,,An aphasia that is characterized by a loss of ability to speak.
symptom/nervous system symptom/aphasia/anomia,3,anomia,anomic aphasia|amnesic aphasia|inability to name objects|amnestic aphasia|nominal aphasia,"An aphasia that is characterized by a severe problem with recalling words or names.|doid/symp duplicate - reviewed 10/2022, both DO & SYMP"
symptom/nervous system symptom/aphasia/inability to form words,3,inability to form words,,An aphasia that is characterized by a loss of ability to form words.
symptom/nervous system symptom/aphasia/agraphia,3,agraphia,inability to write,An aphasia that is characterized by a pathological loss of the ability to write.
symptom/nervous system symptom/aphasia/alexia,3,alexia,,An aphasia that is characterized by a loss of ability to read.|doid/symp duplicate
symptom/nervous system symptom/aphasia/expressive aphasia,3,expressive aphasia,Broca's aphasia|agrammatic aphasia,"An aphasia that is characterized by damage to, or a developmental issues in, the anterior regions of the brain, including (but not limited to) the left inferior frontal region known as Broca's area. Sufferers of this form of aphasia exhibit the common problem of agrammatism. For them, speech is difficult to initiate, non-fluent, labored, and halting."
symptom/nervous system symptom/behavioral symptom,2,behavioral symptom,,"A nervous system symptom that is characterized by an involvement, or relation to, or emphasizes behavior."
symptom/nervous system symptom/behavioral symptom/communication difficulty,3,communication difficulty,,"A behavioral symptom that is characterized by speech, language and communication needs or communication disabilities."
symptom/nervous system symptom/behavioral symptom/limited attention,3,limited attention,,A behavioral symptom that is characterized by a restricted rate of information processing by the brain.
symptom/nervous system symptom/behavioral symptom/hyperactivity,3,hyperactivity,,"A behavioral symptom that is characterized by an increase in movement, impulsive actions, a shorter attention span, and being easily distracted."
symptom/nervous system symptom/behavioral symptom/obsessive interests,3,obsessive interests,,A behavioral symptom that is characterized by obsessive and highly-focused interests.
symptom/nervous system symptom/behavioral symptom/repetitive behavior,3,repetitive behavior,stimming,A behavioral symptom that is characterized by an unusual repetitive motor movements or manipulation of objects.
symptom/nervous system symptom/behavioral symptom/irritability,3,irritability,Inconsolability,"A behavioral symptom that is characterized by a quick excitability to annoyance, impatience, or anger."
symptom/nervous system symptom/behavioral symptom/abnormal behavior,3,abnormal behavior,,"A behavioral symptom that is characterized by behavior that is atypical or statistically uncommon within a particular culture, or that is maladaptive, or detrimental to an individual, or those around that individual."
symptom/nervous system symptom/behavioral symptom/aggressive behavior,3,aggressive behavior,,"A behavioral symptom that is characterized by behavior aimed at harming a person, or animal, or damaging physical property."
symptom/nervous system symptom/paralysis,2,paralysis,,A nervous system symptom that is characterized by a complete or partial loss of function especially when involving the power of motion or of sensation in any part of the body.
symptom/nervous system symptom/paralysis/respiratory paralysis,3,respiratory paralysis,,A paralysis that is characterized by a complete or severe weakness of the muscles of respiration.
symptom/nervous system symptom/paralysis/transient paralysis of limb,3,transient paralysis of limb,,"A paralysis that is characterized by a loss of some, or all, muscle control in a limb, and which lasts for only a short time (i.e. is temporary)."
symptom/nervous system symptom/paralysis/lip paralysis,3,lip paralysis,paralysed lips,
symptom/nervous system symptom/paralysis/throat muscle paralysis,3,throat muscle paralysis,,
symptom/nervous system symptom/paralysis/paraplegia,3,paraplegia,,"A paralysis that is characterized by a complete, or partial, loss of function of the lower half of the body with involvement of both legs that is usually due to injury or disease of the spinal cord in the thoracic or lumbar region.|doid/symp duplicate"
