path,level,prefLabel,synonym,definition
symptom/hemic and immune system symptom/hemic system symptom/vasculitis,3,vasculitis,,doid/symp duplicate
symptom/hemic and immune system symptom/hemic system symptom/leukocytosis,3,leukocytosis,,
symptom/hemic and immune system symptom/hemic system symptom/anemia,3,anemia,anaemia,"doid/symp duplicate - reviewed 10/2022, both DO & SYMP"
symptom/hemic and immune system symptom/hemic system symptom/anemia/hemolytic anemia,4,hemolytic anemia,,doid/symp duplicate
symptom/hemic and immune system symptom/hemic system symptom/anemia/hemolytic anemia/microangiopathic hemolytic anemia,5,microangiopathic hemolytic anemia,,
symptom/hemic and immune system symptom/hemic system symptom/anemia/moderate anemia,4,moderate anemia,,
symptom/hemic and immune system symptom/hemic system symptom/ischemia,3,ischemia,,
symptom/hemic and immune system symptom/hemic system symptom/hemolysis,3,hemolysis,haemolysis,
symptom/hemic and immune system symptom/hemic system symptom/hyperemia,3,hyperemia,hyperaemia|hyperemic,Hyperemia is a hemic system symptom consisting of an excess of blood in a body part as from an increased flow of blood due to vasodilation.
symptom/hemic and immune system symptom/hemic system symptom/hyperemia/functional hyperemia,4,functional hyperemia,,Functional hyperemia is a hyperemia occurring due to an increase in blood flow to a tissue due to the presence of metabolites and a change in general conditions.
symptom/hemic and immune system symptom/hemic system symptom/hyperemia/reactive hyperemia,4,reactive hyperemia,,Reactive hyperemia is a hyperemia occurring due to the dilation of arteriolar smooth muscle to increase blood flow in response to a profound increase in blood flow to an organ after being occluded. There will be a shortage of oxygen and a build-up of metabolic waste.
symptom/hemic and immune system symptom/hemic system symptom/hyperemia/active hyperemia,4,active hyperemia,,Active hyperemia is a hyperemia occurring due to the dilation of arteriolar smooth muscle to increase blood flow in response to an increase in metabolism.
symptom/hemic and immune system symptom/hemic system symptom/hyperemia/congested sclera,4,congested sclera,,Congested sclera is a hyperemia characterized as the congestion of the vessels of the outer layer of the eye containing collagen and elastic fibers.
symptom/hemic and immune system symptom/hemic system symptom/hypotension,3,hypotension,,
symptom/hemic and immune system symptom/hemic system symptom/hypotension/mild hypotension,4,mild hypotension,,
symptom/hemic and immune system symptom/hemic system symptom/hypoxemia,3,hypoxemia,hypoxaemia,
symptom/hemic and immune system symptom/hemic system symptom/hemodynamic instability,3,hemodynamic instability,,
symptom/hemic and immune system symptom/hemic system symptom/low white blood cell count,3,low white blood cell count,,
symptom/hemic and immune system symptom/hemic system symptom/hematogenous,3,hematogenous,,
symptom/hemic and immune system symptom/hemic system symptom/plasmacytosis,3,plasmacytosis,,
symptom/hemic and immune system symptom/hemic system symptom/cytopenia,3,cytopenia,,
symptom/hemic and immune system symptom/hemic system symptom/reticulocytosis,3,reticulocytosis,,
symptom/hemic and immune system symptom/hemic system symptom/macrocytosis,3,macrocytosis,,
symptom/digestive system symptom,1,digestive system symptom,,
symptom/digestive system symptom/flatulence,2,flatulence,gas production|gas,
symptom/digestive system symptom/tenesmus,2,tenesmus,,
symptom/digestive system symptom/terminal ileitis,2,terminal ileitis,,
symptom/digestive system symptom/vomiting,2,vomiting,emesis,Vomiting is a digestive system symptom characterized by throwing up the stomach contents.
symptom/digestive system symptom/vomiting/hematemesis,3,hematemesis,haematemesis|bloody vomit|vomiting blood,A vomiting where there is vomiting of blood.
symptom/digestive system symptom/liver symptom,2,liver symptom,,
symptom/digestive system symptom/liver symptom/hepatic necrosis,3,hepatic necrosis,,
symptom/digestive system symptom/liver symptom/hepatic necrosis/massive hepatic necrosis,4,massive hepatic necrosis,,
symptom/digestive system symptom/liver symptom/hepatosplenomegaly,3,hepatosplenomegaly,,
symptom/digestive system symptom/liver symptom/hepatitis,3,hepatitis,,doid/symp duplicate
symptom/digestive system symptom/liver symptom/hepatic dysfunction,3,hepatic dysfunction,,
symptom/digestive system symptom/liver symptom/hepatic abscess,3,hepatic abscess,hepatic abscesses,hepatic abscess is a liver symptom characterized by a pus-filled mass in the liver that can develop from injury to the liver or an intraabdominal infection disseminated from the portal circulation.
symptom/digestive system symptom/liver symptom/hepatomegaly,3,hepatomegaly,enlargement of the liver,
symptom/digestive system symptom/liver symptom/liver inflammation,3,liver inflammation,,
symptom/digestive system symptom/nausea,2,nausea,,Nausea is a digestive system symptom characterized by an uneasy or unsettled feeling in the stomach together with an urge to vomit.
symptom/digestive system symptom/visible peristalsis,2,visible peristalsis,,
symptom/digestive system symptom/enteritis,2,enteritis,,Enteritis is a digestive system symptom involving the inflammation of the small intestines and especially of the human ileum.
symptom/digestive system symptom/enteritis/chronic enteritis,3,chronic enteritis,,"Chronic enteritis is a enteritis with slow progress, long duration, or frequent recurrence which can be due to Crohn's disease, giardiasis, tuberculosis, coeliac disease, or rarely due to Whipple's disease."
symptom/digestive system symptom/enteritis/acute enteritis,3,acute enteritis,,Acute enteritis is a enteritis with either or both a rapid onset and a short course which is usually due to bacteria or virus.
symptom/digestive system symptom/gastrointestinal bleeding,2,gastrointestinal bleeding,,"A digestive system symptom characterized by bleeding from one or more of the areas of the digestive or gastrointestinal (GI) tract that includes the espophagus, stomach, small intestine, large intestine or colon, rectum and anus."
symptom/digestive system symptom/feces and droppings symptom,2,feces and droppings symptom,fecal,
symptom/digestive system symptom/feces and droppings symptom/constipation,3,constipation,,"Constipation is a feces and droppings symptom involving the abnormally delayed or infrequent passage of dry hardened feces. Constipation may be categorized into three subtypes: normal-transit, slow-transit, and pelvic floor dysfunction.|doid/symp duplicate"
